"PENSIONES EN VIGOR A 1 DE MAYO DE 2023
 según comunidad autónoma y provincia
 por régimen de Seguridad Social y clase de pensión",
TOTAL SISTEMA,
"COMUNIDAD AUTÓNOMA 
Y PROVINCIA",
,P.media
TOTAL,"1.375,23"
ANDALUCÍA,"1.240,73"
ARAGÓN,"1.444,14"
ASTURIAS (PRINCIPADO DE),"1.641,41"
BALEARS (ILLES),"1.273,23"
CANARIAS,"1.269,66"
CANTABRIA,"1.461,77"
CASTILLA - LA MANCHA,"1.279,63"
CASTILLA Y LEÓN,"1.367,85"
CATALUÑA,"1.404,35"
COMUNITAT VALENCIANA,"1.260,16"
EXTREMADURA,"1.146,96"
GALICIA,"1.168,51"
MADRID (COM. DE),"1.591,62"
MURCIA (REGIÓN DE),"1.230,96"
NAVARRA (COM. FORAL DE),"1.547,36"
PAÍS VASCO,"1.683,40"
RIOJA (LA),"1.321,42"
Ceuta,"1.505,07"
Melilla,"1.460,19"
Fuente: Seguridad Social. Pensiones contributivas en vigor a 1 de mayo 2023. Consulta en junio 2023.,
https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST23/EST24,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
